antenna,latitude,longitude,altitude
1a,40.81670761,-121.4710315,995.4856
1b,40.81655639,-121.4706261,995.258
1c,40.81598147,-121.4707168,997.0941
1d,40.81601566,-121.4709973,995.4791
1e,40.81611302,-121.471167,995.1553
1f,40.81610429,-121.4715154,995.4676
1g,40.81628745,-121.4715222,995.3262
1h,40.81642245,-121.4718174,995.4469
1j,40.81682553,-121.4719403,995.521
1k,40.81670885,-121.47132,995.4435
2a,40.81742547,-121.4707184,995.461
2b,40.81733104,-121.4704467,995.4525
2c,40.81708306,-121.4705007,995.34
2d,40.81689067,-121.4700338,995.381
2e,40.81691578,-121.4698286,995.3675
2f,40.81703932,-121.4715276,995.3439
2g,40.8170221,-121.471872,995.4268
2h,40.81713253,-121.4717849,995.358
2j,40.81726783,-121.4716411,995.4136
2k,40.81731957,-121.4715275,995.467
2l,40.81732525,-121.4712319,995.349
2m,40.81730964,-121.4708574,995.1844
3c,40.81771783,-121.4698589,995.2691
3d,40.81791974,-121.4704076,995.2295
3e,40.81782068,-121.4707219,995.1762
3f,40.81771023,-121.4709094,995.2824
3g,40.81768833,-121.4710224,995.2835
3h,40.81777338,-121.4709896,996.057
3j,40.81811833,-121.470343,995.1953
3l,40.818297,-121.4706848,995.0902
4e,40.81798252,-121.4695483,995.2426
4f,40.81815474,-121.4700912,995.1616
4g,40.81833092,-121.4704201,995.1612
4h,40.81835916,-121.4705758,995.1172
4j,40.81854029,-121.4700816,995.2546
4k,40.81830634,-121.4699309,995.099
4l,40.81830425,-121.4698025,994.9428
5b,40.81822737,-121.4688954,995.235
5c,40.81807313,-121.4688196,995.271
5e,40.81799873,-121.4686937,995.4429
5g,40.81795016,-121.4690117,995.275
5h,40.81806775,-121.4689785,995.254
