antenna,e,n,u
1c, 92.500600, -155.381600, 2.155100
1e, 54.507900, -140.770400, 0.216300
1g, 24.539200, -121.396600, 0.387200
1h, -0.366500, -106.403000, 0.507900
1k, 41.604400, -74.593700, 0.504500
2a, 92.361700, 4.999800, 0.522000
2b, 115.292800, -5.488500, 0.513500
2c, 110.731600, -33.030600, 0.401000
2e, 167.448600, -51.609400, 0.428500
2h, 2.373700, -27.536200, 0.419000
2j, 14.504200, -12.508100, 0.474600
2k, 24.093600, -6.761500, 0.528000
2l, 49.035700, -6.131200, 0.410000
2m, 80.639200, -7.864600, 0.245400
3c, 164.888300, 37.472200, 0.330100
3d, 118.589600, 59.897500, 0.290500
3l, 95.201100, 101.799400, 0.151200
4g, 117.534200, 105.566200, 0.222200
4j, 146.093100, 128.820700, 0.315600
5b, 246.189700, 94.067200, 0.296000
