antenna,lat_wgs,lon_wgs,alt_wgs,lat_nad,lon_nad,alt_nad,x,y,z,e,n,u,e_legacy,n_legacy,u_legacy
1a,40.816712869598746,-121.47104786441923,1019.2466,40.81670761,-121.4710315,995.4856,-2524036.0307912203,-4123528.101172219,4147706.408318585,-25.015738834626973,-80.15168372076005,0.024599999999963984,-26.412999999999997,-79.73129999999999,0.024599999999999955
1b,40.81656164962174,-121.47064246433446,1019.019,40.81655639,-121.4706261,995.258,-2524012.4958892134,-4123555.1766721113,4147693.5484577166,9.468058365629986,-96.34228442702442,-0.20299999999997453,7.787999999999997,-96.526,-0.203
1c,40.815986729567,-121.47073316425822,1020.8551,40.81598147,-121.4707168,997.0941,-2524041.5388905862,-4123587.965024342,4147646.4222955606,2.93226640264038,-160.29866943508387,1.633100000000013,0.13890000000000668,-160.38139999999999,1.6331
1d,40.81602091954848,-121.47101366431262,1019.2401,40.81601566,-121.4709973,995.4791,-2524059.792573754,-4123572.448681901,4147648.2406134596,-20.79116700415034,-156.9159618038684,0.018100000000004002,-23.528499999999994,-156.584,0.018100000000000005
1e,40.81611827954213,-121.47118336435452,1018.9163,40.81611302,-121.471167,995.1553,-2524068.187873109,-4123558.735413135,4147656.21282186,-35.29211090155877,-146.357550018467,-0.30570000000000164,-37.8538,-145.7702,-0.3057
1f,40.81610954951152,-121.47153176440668,1019.2285999999999,40.81610429,-121.4715154,995.4676,-2524093.716340507,-4123544.129301442,4147655.6831260016,-64.65900992369279,-147.83922797627747,0.00659999999993488,-67.2511,-146.7402,0.006599999999999939
1g,40.816292709525236,-121.47153856443505,1019.0871999999999,40.81628745,-121.4715222,995.3262,-2524087.2078100787,-4123532.397416349,4147670.9866770394,-65.58714511943981,-127.51631397753954,-0.1348000000000411,-67.82249999999999,-126.3964,-0.13480000000000003
1h,40.81642770951048,-121.47183376450059,1019.2079,40.81642245,-121.4718174,995.4469,-2524103.384010733,-4123511.111598937,4147682.4133068994,-90.7453646013746,-112.96391186956316,-0.014099999999984902,-92.7282,-111.4028,-0.014100000000000001
1j,40.81683078953095,-121.47195666457858,1019.2819999999999,40.81682553,-121.4719403,995.521,-2524096.980570317,-4123480.786854586,4147716.343429463,-101.89083508343901,-68.39802387636155,0.05999999999994543,-103.101,-66.633,0.05999999999999994
1k,40.81671410957452,-121.47133636446472,1019.2044999999999,40.81670885,-121.47132,995.4435,-2524056.730228759,-4123515.287949227,4147706.4850287656,-49.34980246296618,-80.43850022181869,-0.017500000000040927,-50.7573,-79.59349999999999,-0.01750000000000007
2a,40.817430729680396,-121.47073476447545,1019.222,40.81742547,-121.4707184,995.461,-2523986.279601761,-4123497.427940991,4147766.732988923,0.0,0.0,0.0,0.0,0.0,0.0
2b,40.817336299696095,-121.47046306441914,1019.2135,40.81733104,-121.4704467,995.4525,-2523970.301363642,-4123515.238502669,4147758.790023165,23.097494266112335,-10.082934709265828,-0.008500000000026375,22.9311,-10.488299999999999,-0.008500000000000063
2c,40.81708831967268,-121.47051706439166,1019.101,40.81708306,-121.4705007,995.34,-2523983.5419911123,-4123528.1422073604,4147737.872218138,19.02371795894578,-37.69112804438919,-0.1209999999999809,18.3699,-38.0304,-0.121
2d,40.816895929697274,-121.4700501642903,1019.1419999999999,40.81689067,-121.4700338,995.381,-2523957.2473999085,-4123560.6492725424,4147721.727385693,58.77402007125784,-58.361326705664396,-0.08000000000004093,57.769999999999996,-59.399,-0.08000000000000002
2e,40.81692103971657,-121.46984496426194,1019.1284999999999,40.81691578,-121.4698286,995.3675,-2523941.5221860334,-4123568.125040547,4147723.8292249846,76.03156610089354,-55.27166268415749,-0.09350000000006276,75.0869,-56.6092,-0.09350000000000003
2f,40.81704457958252,-121.4715439645459,1019.1048999999999,40.81703932,-121.4715276,995.3439,-2524059.106099003,-4123485.615619698,4147734.198131659,-67.4983293308178,-44.05782824382186,-0.11710000000005039,-68.27459999999999,-42.8885,-0.11710000000000004
2g,40.81702735955198,-121.47188836459696,1019.1877999999999,40.8170221,-121.471872,995.4268,-2524084.5774130877,-4123471.5634082295,4147732.8048639772,-96.51103534270078,-46.47599529474974,-0.0342000000000553,-97.3396,-44.8001,-0.03420000000000001
2h,40.81713778956793,-121.47180126459976,1019.1189999999999,40.81713253,-121.4717849,995.358,-2524074.096220788,-4123468.5182652213,4147742.0422435375,-89.37896330712829,-34.088867514394224,-0.10300000000006548,-89.988,-32.536,-0.10300000000000004
2j,40.81727308959038,-121.47165746459687,1019.1745999999999,40.81726783,-121.4716411,995.4136,-2524058.6409591637,-4123466.5112451194,4147753.4513993543,-77.51311044499744,-18.857472616247833,-0.047400000000038744,-77.8575,-17.5079,-0.0474
2k,40.817324829603876,-121.47154386458651,1019.228,40.81731957,-121.4715275,995.467,-2524048.5254066754,-4123468.3463909747,4147757.835369889,-68.03251481370535,-12.946626515127718,0.005999999999971806,-68.2681,-11.761299999999999,0.006000000000000005
2l,40.81733050962948,-121.47124826454152,1019.11,40.81732525,-121.4712319,995.349,-2524026.989692545,-4123480.9405167866,4147758.2356800516,-43.11327833950054,-11.88121878914535,-0.11199999999996635,-43.326,-11.131,-0.11200000000000004
2m,40.81731489966018,-121.47087376448117,1018.9454,40.81730964,-121.4708574,995.1844,-2524000.5641107005,-4123498.2984570004,4147756.815976133,-11.498558924417011,-13.063060670159757,-0.2766000000000304,-11.722499999999997,-12.8644,-0.2766
3c,40.81772308977579,-121.46987526438447,1019.0301,40.81771783,-121.4698589,995.2691,-2523913.265779332,-4123517.062782675,4147791.1821111576,71.92148895410355,33.72073770780116,-0.19190000000003238,72.52659999999999,32.4724,-0.19190000000000002
3d,40.817924999745,-121.47042396449997,1018.9905,40.81791974,-121.4704076,995.2295,-2523945.086670364,-4123480.3638816103,4147808.127865142,25.254414101014845,55.32727324217558,-0.23149999999998272,26.227900000000005,54.8977,-0.23150000000000004
3e,40.81782593971091,-121.47073826453484,1018.9372,40.81782068,-121.4707219,995.1762,-2523971.439791098,-4123472.6180766555,4147799.766493265,-1.0607967685209587,43.86782473977655,-0.28480000000001837,-0.28879999999999484,43.8951,-0.28480000000000005
3f,40.81771548968641,-121.47092576454763,1019.0434,40.81771023,-121.4709094,995.2824,-2523989.1620624275,-4123471.266121543,4147790.551974626,-16.660062624374405,31.330634582787752,-0.17859999999996035,-16.113600000000005,31.6276,-0.17860000000000004
3g,40.817693589675166,-121.4710387645621,1019.0445,40.81768833,-121.4710224,995.2835,-2523998.124952975,-4123467.6450268496,4147788.711874468,-26.147754492936656,28.73319503478706,-0.1775000000000091,-25.644800000000004,29.195299999999996,-0.17750000000000005
3h,40.817778639683254,-121.47100596456677,1019.818,40.81777338,-121.4709896,996.057,-2523992.8464242537,-4123464.322817822,4147796.3664053706,-23.546225045691244,38.22301335353404,0.5960000000000036,-22.881,38.642,0.5960000000000001
3j,40.81812358976576,-121.47035936451907,1018.9562999999999,40.81811833,-121.470343,995.1953,-2523932.8971014554,-4123470.89044144,4147824.7980390238,30.317769219051115,77.46820637211204,-0.265700000000038,31.6785,76.95490000000001,-0.26570000000000005
3l,40.81830225975077,-121.47070116459905,1018.8512,40.818297,-121.4706848,995.0902,-2523950.6822576034,-4123444.7023326857,4147839.7474427638,1.1453351337695494,96.79957455210388,-0.3708000000000311,2.8393999999999977,96.79960000000001,-0.3708
4e,40.81798777982242,-121.4695646643747,1019.0036,40.81798252,-121.4695483,995.2426,-2523880.869769226,-4123514.3375464156,4147813.413426994,97.60347444436047,63.561885693110526,-0.21839999999997417,98.73819999999999,61.871,-0.21840000000000004
4f,40.818159999789884,-121.47010756448512,1018.9226,40.81815474,-121.4700912,995.1616,-2523913.382185706,-4123479.7060887963,4147827.8364580916,51.48319457506295,81.88085616659373,-0.29939999999999145,52.92559999999999,80.9989,-0.2994
4g,40.81833617977565,-121.47043646456237,1018.9222,40.81833092,-121.4704201,995.1612,-2523930.3747946257,-4123454.3080821196,4147842.6449955846,23.40348360745702,100.95471166912466,-0.29980000000000473,25.1725,100.5664,-0.2998
4h,40.81836441976471,-121.47059216459104,1018.8782,40.81835916,-121.4705758,995.1172,-2523940.4924399494,-4123445.672260385,4147844.9899415076,10.21758252044674,103.86049993336201,-0.34379999999998745,12.038399999999996,103.70330000000001,-0.3438
4j,40.818545549820186,-121.47009796453975,1019.0156,40.81854029,-121.4700816,995.2546,-2523898.1150373477,-4123456.314794732,4147860.3045849088,51.545601545250975,124.6955994963646,-0.20640000000003056,53.731399999999994,123.8209,-0.20640000000000003
4k,40.818311599815196,-121.46994726448243,1018.86,40.81830634,-121.4699309,995.099,-2523896.075066118,-4123477.339537938,4147840.538272895,64.70852542575449,98.94628005381674,-0.36199999999996635,66.44869999999999,97.83670000000001,-0.362
4l,40.81830950982611,-121.4698188644626,1018.7038,40.81830425,-121.4698025,994.9428,-2523886.8518362255,-4123483.024180943,4147840.260497064,75.5413831807673,98.90334417764097,-0.5181999999999789,77.2896,97.60470000000001,-0.5182
5b,40.818232629896414,-121.46891176430843,1018.996,40.81822737,-121.4688954,995.235,-2523824.598229116,-4123527.93080514,4147833.98936114,152.1921413858654,91.70498086325824,-0.2259999999999991,153.82799999999997,89.0674,-0.22600000000000003
